8,8,24,24,11,21,21,21,21,24,11,8,8,8,8
8,8,24,24,21,21,21,21,24,24,24,8,8,8,8
8,8,24,11,21,21,21,21,24,24,24,1,1,8,21
1,8,8,21,21,21,21,21,24,24,24,1,1,21,21
1,1,1,21,21,21,21,21,21,24,24,11,21,21,21
11,11,1,21,21,21,21,21,21,1,24,24,11,21,21
11,11,8,21,21,21,21,21,21,24,24,24,24,8,1
11,8,8,21,21,8,8,24,21,24,24,24,24,8,8
11,8,8,11,24,24,8,24,24,24,24,24,8,8,8
11,8,8,11,11,24,8,21,1,24,24,24,8,8,8
11,11,11,11,11,24,8,1,1,1,24,24,8,8,8
11,11,11,11,11,21,21,1,1,1,1,24,24,24,8
11,11,11,11,11,21,1,1,1,1,1,24,24,24,24
11,11,11,11,11,11,1,1,1,1,1,24,24,24,24
24,24,24,21,21,11,11,11,1,1,1,1,24,24,24
