0,0,0,0,0,0,0,0,15,29,0,0,0,26,0
0,0,0,0,0,0,0,0,26,25,0,8,8,3,0
0,0,0,0,19,0,0,28,24,24,18,8,29,7,23
0,0,4,11,26,21,24,7,27,6,0,9,1,23,12
0,0,24,9,4,24,0,0,28,28,18,4,11,8,0
0,17,1,1,4,19,0,21,0,0,20,20,11,26,0
0,1,8,24,21,17,25,4,21,18,0,27,27,0,0
15,8,21,27,8,14,25,24,21,0,0,20,0,0,0
0,8,0,27,24,28,24,0,25,25,0,0,0,0,0
8,4,21,18,11,24,8,0,21,27,0,0,0,0,0
0,8,21,11,21,4,24,0,1,20,0,0,0,0,0
0,4,27,11,21,28,8,1,21,0,0,0,0,0,0
0,0,18,24,24,21,21,0,1,11,0,0,0,0,0
0,0,0,21,18,11,18,24,8,1,0,0,0,0,0
0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
